wavelength,species,ep,gf
4365.896,26.0,2.990,-2.250
4389.245,26.0,0.052,-4.583
4445.471,26.0,0.087,-5.441
4602.001,26.0,1.608,-3.154
4630.12,26.0,2.28,-2.52
4635.85,26.0,2.85,-2.34
4683.56,26.0,2.83,-2.41
4690.14,26.0,3.69,-1.61
4745.80,26.0,3.65,-1.27
4749.95,26.0,4.56,-1.24
4779.439,26.0,3.415,-2.020
4779.44,26.0,3.42,-2.16
4788.76,26.0,3.24,-1.73
4799.41,26.0,3.64,-2.13
4800.64,26.0,4.14,-1.10
4802.88,26.0,3.64,-1.514
4808.15,26.0,3.25,-2.69
4924.77,26.0,2.28,-2.17
4939.68,26.0,0.86,-3.32
4950.10,26.0,3.42,-1.56
4961.91,26.0,3.63,-2.19
4962.57,26.0,4.18,-1.18
4973.09,26.0,3.96,-0.77
4994.129,26.0,0.915,-3.080
5016.48,26.0,4.26,-1.373
5044.211,26.0,2.851,-2.058
5054.64,26.0,3.64,-1.98
5067.14,26.0,4.22,-0.86
5074.74,26.0,4.22,-0.13
5090.77,26.0,4.26,-0.49
5109.65,26.0,4.30,-0.73
5126.19,26.0,4.26,-0.85
5127.36,26.0,0.91,-3.33
5127.679,26.0,0.052,-6.125
5131.47,26.0,2.22,-2.46
5141.74,26.0,2.42,-2.23
5145.09,26.0,2.20,-3.08
5159.05,26.0,4.28,-0.81
5187.91,26.0,4.14,-1.26
5197.94,26.0,4.30,-1.540
5198.71,26.0,2.22,-2.14
5217.92,26.0,3.64,-1.72
5223.18,26.0,3.64,-1.783
5225.525,26.0,0.110,-4.789
5228.38,26.0,4.22,-1.19
5242.49,26.0,3.63,-0.99
5243.77,26.0,4.26,-0.99
5247.050,26.0,0.087,-4.961
5250.208,26.0,0.121,-4.938
5250.64,26.0,2.20,-2.09
5253.02,26.0,2.28,-3.840
5253.46,26.0,3.28,-1.57
5263.30,26.0,3.26,-0.97
5281.79,26.0,3.04,-0.94
5285.13,26.0,4.43,-1.54
5288.52,26.0,3.69,-1.51
5293.96,26.0,4.14,-1.77
5295.31,26.0,4.42,-1.59
5307.36,26.0,1.61,-2.97
5321.10,26.0,4.43,-1.26
5322.04,26.0,2.28,-2.89
5339.93,26.0,3.26,-0.80
5365.40,26.0,3.57,-1.25
5373.71,26.0,4.47,-0.74
5379.57,26.0,3.69,-1.51
5386.33,26.0,4.15,-1.67
5389.48,26.0,4.41,-0.45
5395.22,26.0,4.45,-2.070
5398.28,26.0,4.45,-0.630
5409.13,26.0,4.37,-1.06
