|  wavelength | species |     ep |      gf | comments
|  4365.896   |    26.0 |  2.990 |  -2.250 | JM FW2006[C] O'Brian
|  4389.245   |    26.0 |  0.052 |  -4.583 | JM FW2006[A] Blackwell_1979
|  4445.471   |    26.0 |  0.087 |  -5.441 | JM FW2006[A] Blackwell_1979
|  4602.001   |    26.0 |  1.608 |  -3.154 | JM FW2006[A] Blackwell_1980
|  4630.12    |    26.0 |  2.28  |  -2.52  | R07
|  4635.85    |    26.0 |  2.85  |  -2.34  | R07
|  4683.56    |    26.0 |  2.83  |  -2.41  | R07
|  4690.14    |    26.0 |  3.69  |  -1.61  | R07
|  4745.80    |    26.0 |  3.65  |  -1.27  | R07 BLENDED
|  4749.95    |    26.0 |  4.56  |  -1.24  | R07
|  4779.439   |    26.0 |  3.415 |  -2.020 | JM FW2006[C] O'Brian
|  4779.44    |    26.0 |  3.42  |  -2.16  | R07 something weird happening in MIKE spectra here
|  4788.76    |    26.0 |  3.24  |  -1.73  | R07
|  4799.41    |    26.0 |  3.64  |  -2.13  | R07
|  4800.64    |    26.0 |  4.14  |  -1.10  | Nissen11 asymmetric in Sun
|  4802.88    |    26.0 |  3.64  |  -1.514 | Asplund/Fan
|  4808.15    |    26.0 |  3.25  |  -2.69  | R07
|  4924.77    |    26.0 |  2.28  |  -2.17  | Nissen11
|  4939.68    |    26.0 |  0.86  |  -3.32  | Nissen11 bad continuum in Sun
|  4950.10    |    26.0 |  3.42  |  -1.56  | Nissen11
|  4961.91    |    26.0 |  3.63  |  -2.19  | R07 *bad wavelength solution in
|  4962.57    |    26.0 |  4.18  |  -1.18  | R07 *mike spectra (stwins_harps) [also lines with **]
|  4973.09    |    26.0 |  3.96  |  -0.77  | Nissen11 blends/telluric? **
|  4994.129   |    26.0 |  0.915 |  -3.080 | JM FW2006[A] Blackwell_1979
|  5016.48    |    26.0 |  4.26  |  -1.373 | Asplund/Fan
|  5044.211   |    26.0 |  2.851 |  -2.058 | M09/R09 -2.146 n -2.058b94 ADOPT THIS **
|  5054.64    |    26.0 |  3.64  |  -1.98  | R07 **
|  5067.14    |    26.0 |  4.22  |  -0.86  | Nissen11
|  5074.74    |    26.0 |  4.22  |  -0.13  | Nissen11
|  5090.77    |    26.0 |  4.26  |  -0.49  | Nissen11
|  5109.65    |    26.0 |  4.30  |  -0.73  | Nissen11
|  5126.19    |    26.0 |  4.26  |  -0.85  | Nissen11
|  5127.36    |    26.0 |  0.91  |  -3.33  | Nissen11
|  5127.679   |    26.0 |  0.052 |  -6.125 | JM FW2006[A] Blackwell_1979
|  5131.47    |    26.0 |  2.22  |  -2.46  | Nissen11
|  5141.74    |    26.0 |  2.42  |  -2.23  | Nissen11
|  5145.09    |    26.0 |  2.20  |  -3.08  | R07
|  5159.05    |    26.0 |  4.28  |  -0.81  | Nissen11
|  5187.91    |    26.0 |  4.14  |  -1.26  | R07
|  5197.94    |    26.0 |  4.30  |  -1.540 | Asplund/Fan
|  5198.71    |    26.0 |  2.22  |  -2.14  | Nissen11
|  5217.92    |    26.0 |  3.64  |  -1.72  | R07
|  5223.18    |    26.0 |  3.64  |  -1.783 | Asplund/Fan
|  5225.525   |    26.0 |  0.110 |  -4.789 | M09/R09 oxford
|  5228.38    |    26.0 |  4.22  |  -1.19  | R07
|  5242.49    |    26.0 |  3.63  |  -0.99  | Nissen11
|  5243.77    |    26.0 |  4.26  |  -0.99  | Nissen11
|  5247.050   |    26.0 |  0.087 |  -4.961 | ASPLUND [-4.946 n -4.946oxford ADOPT THIS]
|  5250.208   |    26.0 |  0.121 |  -4.938 | oxford
|  5250.64    |    26.0 |  2.20  |  -2.09  | Nissen11
|  5253.02    |    26.0 |  2.28  |  -3.840 | Asplund/Fan
|  5253.46    |    26.0 |  3.28  |  -1.57  | R07
|  5263.30    |    26.0 |  3.26  |  -0.97  | Nissen11
|  5281.79    |    26.0 |  3.04  |  -0.94  | Nissen11
|  5285.13    |    26.0 |  4.43  |  -1.54  | R07
|  5288.52    |    26.0 |  3.69  |  -1.51  | R07
|  5293.96    |    26.0 |  4.14  |  -1.77  | R07
|  5295.31    |    26.0 |  4.42  |  -1.59  | R07
|  5307.36    |    26.0 |  1.61  |  -2.97  | Nissen11
|  5321.10    |    26.0 |  4.43  |  -1.26  | Nissen11
|  5322.04    |    26.0 |  2.28  |  -2.89  | R07
|  5339.93    |    26.0 |  3.26  |  -0.80  | Nissen11
|  5365.40    |    26.0 |  3.57  |  -1.25  | Nissen11
|  5373.71    |    26.0 |  4.47  |  -0.74  | R07
|  5379.57    |    26.0 |  3.69  |  -1.51  | R07
|  5386.33    |    26.0 |  4.15  |  -1.67  | R07
|  5389.48    |    26.0 |  4.41  |  -0.45  | Nissen11
|  5395.22    |    26.0 |  4.45  |  -2.070 | Asplund/Fan
|  5398.28    |    26.0 |  4.45  |  -0.630 | Asplund/Fan
|  5409.13    |    26.0 |  4.37  |  -1.06  | Nissen11
|  5432.95    |    26.0 |  4.45  |  -0.94  | R07
|  5441.34    |    26.0 |  4.31  |  -1.63  | R07
|  5461.55    |    26.0 |  4.45  |  -1.800 | Asplund/Fan
|  5464.28    |    26.0 |  4.14  |  -1.58  | R07
|  5466.396   |    26.0 |  4.371 |  -0.565 | JM -0.63 WBW1971 -0.50 WBW1971 corrected (Alan Alves Brito) ADOPT -0.565
|  5466.987   |    26.0 |  3.573 |  -2.23  | JM FW2006[D+] O'Brian
|  5470.09    |    26.0 |  4.45  |  -1.710 | Asplund/Fan
|  5472.71    |    26.0 |  4.21  |  -1.52  | R07
|  5473.90    |    26.0 |  4.15  |  -0.72  | R07
|  5483.10    |    26.0 |  4.15  |  -1.45  | R07
|  5487.15    |    26.0 |  4.42  |  -1.43  | R07
|  5491.832   |    26.0 |  4.186 |  -2.188 | ASPLUND
|  5501.47    |    26.0 |  0.96  |  -3.06  | Nissen11
|  5522.45    |    26.0 |  4.21  |  -1.45  | R07
|  5525.54    |    26.0 |  4.23  |  -1.12  | R07
|  5543.94    |    26.0 |  4.22  |  -1.04  | R07
|  5546.51    |    26.0 |  4.37  |  -1.21  | R07
|  5554.89    |    26.0 |  4.55  |  -0.36  | Nissen11
|  5560.21    |    26.0 |  4.43  |  -1.09  | R07
|  5567.39    |    26.0 |  2.61  |  -2.66  | Nissen11 blended in Sun
|  5569.62    |    26.0 |  3.42  |  -0.63  | Nissen11
|  5576.09    |    26.0 |  3.43  |  -0.94  | Nissen11
|  5577.02    |    26.0 |  5.03  |  -1.543 | Asplund/Fan
|  5584.76    |    26.0 |  3.57  |  -2.22  | R07
|  5600.224   |    26.0 |  4.260 |  -1.420 | ASPLUND ***BLENDED***
|  5618.63    |    26.0 |  4.21  |  -1.27  | R07
|  5619.60    |    26.0 |  4.39  |  -1.60  | R07
|  5624.02    |    26.0 |  4.39  |  -1.380 | Asplund/Fan
|  5624.55    |    26.0 |  3.42  |  -0.82  | Nissen11
|  5633.95    |    26.0 |  4.99  |  -0.23  | R07 blend on blue
|  5635.82    |    26.0 |  4.26  |  -1.79  | R07
|  5636.70    |    26.0 |  3.64  |  -2.510 | Asplund/Fan
|  5638.26    |    26.0 |  4.22  |  -0.77  | R07
|  5649.987   |    26.0 |  5.0995|  -0.8   | JM -0.857 Kurucz -0.92 FW2006[E] -0.785 Sousa et al. 2008 (ARES_Sun) -0.75 Jorge (Sun) Adopt -0.8
|  5650.71    |    26.0 |  5.09  |  -0.86  | R07
|  5651.469   |    26.0 |  4.473 |  -1.75  | M09/R09 -1.75 Sun -1.85 Arct not in FW06 kur-1.43 kur_norm-1.89 -1.98MRW74_FW06
|  5653.87    |    26.0 |  4.39  |  -1.54  | R07
|  5661.348   |    26.0 |  4.284 |  -1.756 | b94 & ASPLUND
|  5679.023   |    26.0 |  4.652 |  -0.75  | M09/R09 -0.75 Sun -0.81 Arct D:-0.90 kur-0.755 kurnom-0.81 adopt:D+kurnorm
