wavelength,species,ep,gf
5052.167,6,7.685,-1.304
5380.3369,6,7.685,-1.615
6587.6099,6,8.537,-1.021
7111.469,6,8.64,-1.074
7113.1792,6,8.647,-0.762
7115.17,6,8.65,-0.93
7116.96,6,8.65,-0.91
4218.723,106,0.413,-1.008
4253.003,106,0.523,-1.523
4253.209,106,0.523,-1.486
7771.9438,8,9.146,0.352
7774.1611,8,9.146,0.223
7775.3901,8,9.146,0.002
4751.8218,11,2.104,-2.078
4982.82,11,2.1,-1
5148.838,11,2.102,-2.044
5682.64,11,2.1,-0.77
5688.21,11,2.1,-0.48
6154.2251,11,2.102,-1.547
6160.7471,11,2.104,-1.246
4730.04,12,4.34,-2.39
5711.0879,12,4.345,-1.729
6318.717,12,5.108,-1.945
6319.2368,12,5.108,-2.324
7657.61,12,5.11,-1.28
5557.07,13,3.14,-2.21
6696.0181,13,3.143,-1.481
6698.667,13,3.143,-1.782
7835.309,13,4.022,-0.689
7836.134,13,4.021,-0.45
5488.983,14,5.614,-1.69
5517.54,14,5.08,-2.496
5645.6128,14,4.93,-2.043
5665.554,14,4.92,-1.94
5684.4839,14,4.954,-1.553
5690.4248,14,4.93,-1.773
5701.105,14,4.93,-1.953
5753.64,14,5.62,-1.333
5772.145,14,5.082,-1.653
5793.0732,14,4.93,-1.963
5797.87,14,4.95,-1.912
5948.54,14,5.08,-1.208
6125.03,14,5.61,-1.51
6142.49,14,5.62,-1.54
6145.02,14,5.61,-1.48
6155.14,14,5.62,-0.72
6195.46,14,5.87,-1.666
6237.33,14,5.61,-1.116
6243.82,14,5.62,-1.31
6244.48,14,5.61,-1.36
6414.98,14,5.87,-1.08
6527.21,14,5.87,-1.227
6721.84,14,5.863,-1.06
6741.64,14,5.984,-1.653
7034.9028,14,5.871,-0.783
7226.206,14,5.614,-1.413
7405.77,14,5.614,-0.72
7415.96,14,5.61,-0.85
7423.52,14,5.62,-0.65
7680.27,14,5.863,-0.59
7760.64,14,6.2,-1.37
7800,14,6.18,-0.71
4694.1128,16,6.525,-1.673
4695.4429,16,6.525,-1.829
6046,16,7.868,-0.1
6052.656,16,7.87,-0.4
6743.54,16,7.866,-0.6
6757.1709,16,7.87,-0.353
7686.1602,16,7.868,-1.013
7698.9741,19,0,-0.177
4512.2681,20,2.526,-1.901
5260.3872,20,2.521,-1.719
5261.71,20,2.52,-0.677
5349.47,20,2.71,-0.581
