|  wavelength | species |     ep |      gf | comments
|   5052.1670 |     6.0 | 7.685  | -1.304  | Asplund --- C I
|   5380.3369 |     6.0 | 7.685  | -1.615  | Asplund
|   6587.6099 |     6.0 | 8.537  | -1.021  | Asplund **TELLURIC
|   7111.4690 |     6.0 | 8.640  | -1.074  | Asplund blend?
|   7113.1792 |     6.0 | 8.647  | -0.762  | Asplund
|   7115.170  |     6.0 | 8.65   | -0.93   | Reddy03
|   7116.960  |     6.0 | 8.65   | -0.91   | Reddy03
|   4218.723  |   106.0	| 0.413  | -1.008  | CH A-X Asplund05
|   4253.003  |   106.0	| 0.523  | -1.523  | CH A-X Asplund05
|   4253.209  |   106.0	| 0.523  | -1.486  | CH A-X Asplund05
|   7771.9438 |     8.0 | 9.146  |  0.352  | Asplund --- O I
|   7774.1611 |     8.0 | 9.146  |  0.223  | Asplund
|   7775.3901 |     8.0 | 9.146  |  0.002  | Asplund
|   4751.8218 |    11.0 | 2.104  | -2.078  | Asplund --- Na I
|   4982.82   |    11.0 | 2.10   | -1.00   | Nissen
|   5148.8380 |    11.0 | 2.102  | -2.044  | Asplund
|   5682.64   |    11.0 | 2.10   | -0.77   | Nissen
|   5688.21   |    11.0 | 2.10   | -0.48   | Nissen
|   6154.2251 |    11.0 | 2.102  | -1.547  | Asplund
|   6160.7471 |    11.0 | 2.104  | -1.246  | Asplund
|   4730.040  |    12.0 | 4.340  | -2.39   | Reddy03 --- Mg I
|   5711.0879 |    12.0 | 4.345  | -1.729  | Asplund
|   6318.717  |    12.0 | 5.108  | -1.945  | M09/R09 **TELLURIC
|   6319.2368 |    12.0 | 5.108  | -2.324  | Asplund **TELLURIC
|   7657.610  |    12.0 | 5.11   | -1.28   | Reddy03 **TELLURIC
|   5557.070  |    13.0 | 3.140  | -2.21   | Bensby03 --- Al I
|   6696.0181 |    13.0 | 3.143  | -1.481  | Asplund
|   6698.6670 |    13.0 | 3.143  | -1.782  | Asplund
|   7835.3090 |    13.0 | 4.022  | -0.689  | Asplund
|   7836.134  |    13.0 | 4.021  | -0.45   | M09/R09
|   5488.983  |    14.0 | 5.614  | -1.69   | M09/R09 --- Si I
|   5517.54   |    14.0 | 5.08   | -2.496  | Neves09
|   5645.6128 |    14.0 | 4.930  | -2.043  | Asplund
|   5665.554  |    14.0 | 4.920  | -1.94   | M09/R09
|   5684.4839 |    14.0 | 4.954  | -1.553  | Asplund
|   5690.4248 |    14.0 | 4.930  | -1.773  | Asplund
|   5701.1050 |    14.0 | 4.930  | -1.953  | Asplund
|   5753.64   |    14.0 | 5.62   | -1.333  | Neves09
|   5772.1450 |    14.0 | 5.082  | -1.653  | Asplund
|   5793.0732 |    14.0 | 4.930  | -1.963  | Asplund
|   5797.87   |    14.0 | 4.95   | -1.912  | Neves09
|   5948.54   |    14.0 | 5.08   | -1.208  | Neves09  TELLURIC
|   6125.030  |    14.0 | 5.610  | -1.51   | Reddy03
|   6142.490  |    14.0 | 5.620  | -1.54   | Reddy03  **strong line nearby
|   6145.020  |    14.0 | 5.610  | -1.48   | Reddy03
|   6155.140  |    14.0 | 5.62   | -0.72   | Bensby03
|   6195.46   |    14.0 | 5.87   | -1.666  | Neves09
|   6237.33   |    14.0 | 5.61   | -1.116  | Neves09
|   6243.82   |    14.0 | 5.62   | -1.310  | Neves09 * measure these two together ...
|   6244.480  |    14.0 | 5.610  | -1.36   | Reddy03 * ... with "de-blend"
|   6414.98   |    14.0 | 5.87   | -1.08   | Nissen
|   6527.21   |    14.0 | 5.87   | -1.227  | Neves09
|   6721.840  |    14.0 | 5.863  | -1.06   | Reddy03
|   6741.6400 |    14.0 | 5.984  | -1.653  | Asplund
|   7034.9028 |    14.0 | 5.871  | -0.783  | Asplund
|   7226.2060 |    14.0 | 5.614  | -1.413  | Asplund
|   7405.770  |    14.0 | 5.614  | -0.72   | Bensby03
|   7415.960  |    14.0 | 5.610  | -0.85   | Bensby03
|   7423.520  |    14.0 | 5.620  | -0.65   | Bensby03
|   7680.270  |    14.0 | 5.863  | -0.59   | Bensby03
|   7760.640  |    14.0 | 6.200  | -1.37   | Bensby03  **small blend to the blue?
|   7800.000  |    14.0 | 6.180  | -0.71   | Reddy03
|   4694.1128 |    16.0 | 6.525  | -1.673  | Asplund --- S I
|   4695.4429 |    16.0 | 6.525  | -1.829  | Asplund
|   6046.000  |    16.0 | 7.868  | -0.1    |.9/R09
|   6052.656  |    16.0 | 7.870  | -0.4    |.9/R09
|   6743.54   |    16.0 | 7.866  | -0.6    |.9/R09
|   6757.1709 |    16.0 | 7.870  | -0.353  | Asplund
|   7686.1602 |    16.0 | 7.868  | -1.013  | Asplund
|   7698.9741 |    19.0 | 0.000  | -0.177  | Asplund --- K I
|   4512.2681 |    20.0 | 2.526  | -1.901  | Asplund --- Ca I
|   5260.3872 |    20.0 | 2.521  | -1.719  | Asplund
|   5261.71   |    20.0 | 2.52   | -0.677  | Neves09
|   5349.47   |    20.0 | 2.71   | -0.581  | Neves09
|   5512.98   |    20.0 | 2.93   | -0.559  | Neves09
|   5581.97   |    20.0 | 2.52   | -0.63   | Nissen
|   5590.12   |    20.0 | 2.52   | -0.65   | Nissen
|   5867.5620 |    20.0 | 2.933  | -1.570  | Asplund
|   6156.02   |    20.0 | 2.52   | -2.497  | Neves09
|   6161.2969 |    20.0 | 2.523  | -1.266  | Asplund
|   6163.7550 |    20.0 | 2.521  | -1.286  | Asplund
|   6166.4390 |    20.0 | 2.521  | -1.142  | Asplund
|   6169.0420 |    20.0 | 2.523  | -0.797  | Asplund  # measure these two
|   6169.55   |    20.0 | 2.52   | -0.58   | Nissen   # at the same time
|   6449.82   |    20.0 | 2.52   | -0.733  | Neves09  blended
|   6455.5981 |    20.0 | 2.523  | -1.340  | Asplund
|   6471.6621 |    20.0 | 2.526  | -0.686  | Asplund
|   6499.6499 |    20.0 | 2.523  | -0.818  | Asplund
|   6572.800  |    20.0 | 0.000  | -4.28   | Reddy03
|   4743.8208 |    21.0 | 1.448  |  0.422  | Asplund --- Sc I
|   5081.5610 |    21.0 | 1.448  |  0.469  | Asplund
|   5520.50   |    21.0 | 1.87   |  0.562  | Neves09
|   5671.8281 |    21.0 | 1.448  |  0.495  | Asplund
|   5686.8560 |    21.0 | 1.439  |  0.376  | Asplund
|   5318.3740 |    21.1 | 1.357  | -2.015  | Asplund --- Sc II
|   5526.82   |    21.1 | 1.77   |  0.140  | Neves09
|   5657.88   |    21.1 | 1.51   | -0.326  | Neves09
|   5667.14   |    21.1 | 1.50   | -1.025  | Neves09
|   5669.0550 |    21.1 | 1.500  | -1.200  | Asplund
|   5684.2139 |    21.1 | 1.507  | -1.074  | Asplund
|   6245.6411 |    21.1 | 1.507  | -1.036  | Asplund
|   6320.8430 |    21.1 | 1.500  | -1.923  | Asplund  weak and tellurics around, may be still ok
|   6604.5781 |    21.1 | 1.357  | -1.309  | Asplund
|   4512.733  |    22.0 | 0.840  | -0.42   | Bensby03 --- Ti I
|   4518.023  |    22.0 | 0.830  | -0.27   | Bensby03
|   4555.485  |    22.0 | 0.850  | -0.43   | Bensby03
|   4562.640  |    22.0 | 0.020  | -2.60   | Bensby03
|   4617.280  |    22.0 | 1.750  |  0.45   | Bensby03
|   4623.100  |    22.0 | 1.740  |  0.17   | Bensby03
|   4645.19   |    22.0 | 1.73   | -0.666  | Neves09
|   4656.47   |    22.0 | 0.00   | -1.308  | Neves09
|   4675.11   |    22.0 | 1.07   | -0.939  | Neves09
|   4722.61   |    22.0 | 1.05   | -1.433  | Neves09
|   4758.1180 |    22.0 | 2.249  |  0.481  | Asplund
|   4759.2690 |    22.0 | 2.256  |  0.570  | Asplund
|   4778.258  |    22.0 | 2.236  | -0.22   | Bensby03
|   4820.410  |    22.0 | 1.500  | -0.39   | Bensby03
|   4840.880  |    22.0 | 0.900  | -0.45   | Bensby03
|   4858.14   |    22.0 | 4.102  | -0.14   | Bensby03
|   4874.88   |    22.0 | 3.320  | -0.39   | Bensby03
|   4913.616  |    22.0 | 1.870  |  0.22   | Bensby03
|   4964.7150 |    22.0 | 1.969  | -0.820  | Asplund
|   4997.10   |    22.0 | 0.00   | -2.174  | Neves09
